4;Кресло детское цвет Белый и Розовый;0.85
10;Кресло детское цвет Белый и Розовый;1.50
11;Кресло детское цвет Белый и Розовый;1.50
12;Кресло детское цвет Белый и Розовый;1.50
14;Кресло детское цвет Белый и Розовый;1.00
16;Кресло детское цвет Белый и Розовый;5.00
17;Кресло детское цвет Белый и Розовый;1.00
18;Кресло детское цвет Белый и Розовый;1.00
19;Кресло детское цвет Белый и Розовый;1.00
4;Кресло офисное цвет Черный;1.25
9;Кресло офисное цвет Черный;3.04
11;Кресло офисное цвет Черный;1.50
12;Кресло офисное цвет Черный;2.50
14;Кресло офисное цвет Черный;1.00
16;Кресло офисное цвет Черный;5.00
17;Кресло офисное цвет Черный;1.00
18;Кресло офисное цвет Черный;1.00
19;Кресло офисное цвет Черный;1.00
4;Кресло эргономичное цвет Темно-коричневый  ;1.85
9;Кресло эргономичное цвет Темно-коричневый  ;4.22
10;Кресло эргономичное цвет Темно-коричневый  ;1.50
14;Кресло эргономичное цвет Темно-коричневый  ;1.00
16;Кресло эргономичное цвет Темно-коричневый  ;5.00
17;Кресло эргономичное цвет Темно-коричневый  ;1.00
18;Кресло эргономичное цвет Темно-коричневый  ;1.00
19;Кресло эргономичное цвет Темно-коричневый  ;1.00
5;Полка настольная;3.33
20;Полка настольная;6.00
2;Стеллаж для документов цвет Дуб светлый 854х445х2105 мм;2.90
3;Стеллаж для документов цвет Дуб светлый 854х445х2105 мм;1.70
6;Стеллаж для документов цвет Дуб светлый 854х445х2105 мм;2.70
8;Стеллаж для документов цвет Дуб светлый 854х445х2105 мм;1.80
2;Стеллаж цвет Белый с ящиками 854х445х2105 мм;1.70
3;Стеллаж цвет Белый с ящиками 854х445х2105 мм;1.60
8;Стеллаж цвет Белый с ящиками 854х445х2105 мм;1.80
5;Стеллаж цвет Орех 400х370х2000 мм;2.00
7;Стеллаж цвет Орех 400х370х2000 мм;0.80
20;Стеллаж цвет Орех 400х370х2000 мм;7.00
6;Стол для ноутбука на металлокаркасе 800х600х123 мм;5.95
15;Стол для ноутбука на металлокаркасе 800х600х123 мм;1.00
5;Стол компьютерный 700х600х500 мм;4.30
20;Стол компьютерный 700х600х500 мм;8.60
6;Стол компьютерный на металлокаркасе 1400х600х750 мм;7.65
8;Стол компьютерный на металлокаркасе 1400х600х750 мм;1.05
15;Стол компьютерный на металлокаркасе 1400х600х750 мм;1.00
5;Стол письменный 1100x750x600 мм;6.40
20;Стол письменный 1100x750x600 мм;6.20
4;Стол письменный с тумбочкой 4 ящика 1100x750x600 мм;2.55
5;Стол письменный с тумбочкой 4 ящика 1100x750x600 мм;5.20
5;Стол письменный с тумбочкой 4 ящика 1100x750x600 мм;5.22
7;Стол письменный с тумбочкой 4 ящика 1100x750x600 мм;3.59
20;Стол письменный с тумбочкой 4 ящика 1100x750x600 мм;9.40
1;Стол руководителя письменный цвет Венге 1600x800x764 мм;3.50
3;Стол руководителя письменный цвет Венге 1600x800x764 мм;1.50
8;Стол руководителя письменный цвет Венге 1600x800x764 мм;2.10
Закаленное стекло;Стол руководителя письменный цвет Венге 1600x800x764 мм;0.80
1;Стол руководителя письменный цвет Орех темный 2300x1000x750 мм;7.70
3;Стол руководителя письменный цвет Орех темный 2300x1000x750 мм;6.50
5;Стол руководителя письменный цвет Орех темный 2300x1000x750 мм;4.50
6;Стол руководителя письменный цвет Орех темный 2300x1000x750 мм;5.70
8;Стол руководителя письменный цвет Орех темный 2300x1000x750 мм;2.30
9;Стол руководителя письменный цвет Орех темный 2300x1000x750 мм;1.74
5;Тумба выкатная 3 ящика;4.20
7;Тумба выкатная 3 ящика;2.21
16;Тумба выкатная 3 ящика;4.00
20;Тумба выкатная 3 ящика;6.50
2;Тумба офисная для оргтехники;0.40
16;Тумба офисная для оргтехники;4.00
3;Узкий пенал стеллаж 5 полок цвет Орех 364х326x2000 мм ;0.70
5;Узкий пенал стеллаж 5 полок цвет Орех 364х326x2000 мм ;7.65
7;Узкий пенал стеллаж 5 полок цвет Орех 364х326x2000 мм ;0.80
20;Узкий пенал стеллаж 5 полок цвет Орех 364х326x2000 мм ;6.30
3;Шкаф для книг 800x420x2000 мм;3.20
4;Шкаф для книг 800x420x2000 мм;3.50
7;Шкаф для книг 800x420x2000 мм;1.60
13;Шкаф для книг 800x420x2000 мм;1.60
3;Шкаф для одежды цвет Венге 602x420x2000 мм;1.30
5;Шкаф для одежды цвет Венге 602x420x2000 мм;8.20
8;Шкаф для одежды цвет Венге 602x420x2000 мм;1.30
1;Шкаф-витрина 2 ящика 800x420x2000 мм;1.80
3;Шкаф-витрина 2 ящика 800x420x2000 мм;3.50
8;Шкаф-витрина 2 ящика 800x420x2000 мм;1.65
13;Шкаф-витрина 2 ящика 800x420x2000 мм;1.60
